gurmukhi,shahmukhi,part_of_speech
ਪੀਨਸ,پینس,"noun, feminine"
ਹਜ਼ਾਰਾਂ,ہزاراں,"adjective, plural"
ਅਬਾਦਤ ਕਰਨਾ,عبادت کرنا,conjunct verb
ਯਾਲ,یال,"noun, masculine"
ਕੇਲੀ,کیلی,"noun, feminine"
ਖਾੜੀ,کھاڑی,"noun, feminine"
ਮਸੀਤਡ਼,,
ਸਡ਼ਿਆਹਣ,,
ਸ਼ੀਰਸ਼ ਬਿੰਦੂ,شیرش بندو,"noun, masculine"
ਕਬੂਚੀ,,
ਜੱਸ ਗਾਉਣਾ,جسّ گاؤنا,phrase
ਹਲੋਹਡ਼,,
ਗਦੋਂ,,
ਘਟਾ,گھٹا,"noun, feminine"
ਅਜੀਉਕਾ,,
ਕੁਸਗਨ,کُسگن,"noun, masculine"
ਚਿੰਧ ਸਿੰਧ,,
ਮਹਿਮਹਾਟ,,
ਮਲਕਡ਼ੇ,,
ਬੱਘਮਾਂ,,
ਰਹਿੰਦਾ ਖੂੰਧਾ,,
ਝੂਡ਼ਾ,,
ਕੈਸ਼ ਬੁੱਕ,کَیش بُکّ,"noun, feminine"
ਨਾੱਪਾ,,
ਕੁੱਤੇ ਖਾਣੀ,کُتّے کھانی,"noun, feminine"
ਪਾ,پا,"noun, masculine & adjective"
ਵੈਠਵਾਂ,,
ਨੀਂਦਰ,نیندر,"noun, feminine"
ਕਜ਼ਾਕ,قزاق,"noun, masculine"
ਘਿੱਗੀ ਬੱਝ ਜਾਣੀ,گھِگّی بجھّ جانی,phrase
ਇਕਬਾਲੀ,اقبالی,"noun, masculine"
ਲੱਲੂ,للّو,"adjective, noun masculine"
ਵਣਜਾਰਾ,ونجارا,"noun, feminine/noun, masculine"
ਪੱਠਾ,پٹھّا,"noun, masculine"
ਟਿੱਚ ਜਾਣਨਾ,ٹِچّ جاننا,phrase
ਮਰੂਆ,مروآ,"noun, masculine"
ਸਹੁਰਾ,سہُرا,"noun, masculine"
ਬੁਘਾਟ,بُگھاٹ,"noun, masculine"
ਮਾਂਜਣਾ,مانجنا,"verb, transitive"
ਚੁੱਕ ਵਿੱਚ ਆਉਣਾ,چُکّ وِچّ آؤنا,phrase
ਦ੍ਵੈਤ ਭਾਵ,دوَیت بھاوَ,"noun, masculine/noun, feminine"
ਬਾਲੂਸ਼ਾਹੀ,بالوشاہی,"noun, feminine"
ਚੌਦਸ,چودس,"noun, feminine"
ਵਸੀਅਤ,وصیت,"noun, feminine"
ਤੁੱਪਣੀ,,
ਗਾਡ਼੍ਹ,,
ਸਫੇਦ,,
ਥਹੀ,تھہی,"noun, feminine"
ਦੰਗ ਮਾਤ,دنگ مات,"noun, feminine"
ਰੋ,,
ਨਫੀਸ,,
ਜਾਗਰਤੀ,,
ਬਾਤੂਨੀਆ,,
ਪਤਾ ਕਰਨਾ,پتہ کرنا,conjunct verb
ਛੰਦਕਾਰ,چھندکار,"noun, masculine"
ਦੋਲ,,
ਵਿਖਿਆਤ,وِکھیات,adjective
ਜੋਰਾਜਬਰੀ,زوراجبری,adverb
ਹਰਸਵ ਸਵਰ,ہرسو سوَر,"noun, masculine"
ਉਠਵੱਯਾ,,
ਡੰਕਾ,ڈنکا,"noun, masculine"
ਸੰਤਾਲ਼ੀ,سنتالی,adjective
ਕਲਿਹਾਰ,,
ਬਸੰਤਰ ਦੇਵਤਾ,بسنتر دیوَتا,"noun, masculine"
ਫਟਾ ਫਟ,پھٹا پھٹ,adverb
ਮਾੱਝੀ,,
ਅਠੋਤਰੀ,اٹھوتری,"adjective & noun, feminine"
ਛਿੱਟ,چھِٹّ,"noun, feminine/ noun, masculine"
ਅਲਭ,البھ,adjective
ਅਗਲੀ,,
ਸੌਕਣ,,
ਇਕੱਤੀ੍,,
ਕੁੜ-ਕੁੜ,کُڑ-کُڑ,"noun, feminine"
ਬੇਸੁਰਤ,بے سُرت,adjective
ਉਧਾਰ ਕਰਨਾ,اُدھار کرنا,conjunct verb
ਗੰਧਲ਼ਾ,گندھلا,"adjective, masculine"
ਸੰਕਟ ਆਉਣਾ,سنکٹ آؤنا,conjunct verb
ਵਸੀਅਤ ਦੀ ਪ੍ਰਮਾਣਿਤ ਨਕਲ,وصیت دی پرمانِت نقل,phrase
