gurmukhi,shahmukhi,part_of_speech
ਵਿੰਗ ਤੜਿੰਗ,وِنگ تڑِنگ,adjective
ਵੱਧ ਘੱਟ,ودّھ گھٹّ,adjective & adverb
ਅਧਾਰਤ,ادھارت,adjective
ਸੰਚਾਰ ਸਾਧਨ,سنچار سادھن,"noun, masculine"
ਕੁਰਲਾਪ,کُرلاپ,"noun, masculine"
ਛੱਲੇਦਾਰ,چھلّےدار,"adjective/adjective, masculine"
ਜੀਰਾਂਦ,جیراند,"noun, feminine"
ਸੈਣੀ,,
ਆਸਾਨ,آسان,adjective
ਸਮਪੂਰਨ,,
ਸਰਨਾਮਾ,,
ਤੇਜਵੰਤ,تیجونت,adjective
ਅਰੇਰੇ,,
ਬਣਵਾਉਣਾ,بنواؤنا,"verb, transitive"
ਤਦ ਤੀਕਰ,تد تیکر,adverb
ਵਾਪਸ,واپس,adverb
ਵਿਵਾਦਮਈ,وِوادمئی,adjective
ਹਰਿਆਉਲਾ,,
ਜਾਗ ਲਾਉਣਾ,جاگ لاؤنا,conjunct verb
ਨਾਵਾਜਬ,ناواجب,adjective
ਝੱਪਾ ਆਉਣਾ,جھپّا آؤنا,conjunct verb
ਬਿਆਜ ਦਰ,بیاج در,"noun, masculine"
ਖੋਦਣਾ,کھودنا,"verb, transitive"
ਸਰਾਫ਼,صراف,"noun masculine, dialectical usage"
ਡੋਡੀ,ڈوڈی,"noun, feminine"
ਬਦ ਖੋਈ,بد کھوئی,"noun, feminine"
ਮਲਵੱਯਾ,,
ਸਗੋਂ,سگوں,conjunction & adverb
ਬਦਣਾ,,
ਦਾਦਰ,,
ਚੁੰਧਕ,,
ਹਬਡ਼ ਦਬਡ਼,,
ਸੁਮਰਨ,,
ਜਗਾਉਣਾ,جگاؤنا,"verb, transitive"
ਗਾਹੂ,,
ਟੋਟਰਾ,,
ਲੇਖ ਜਾਗਣੇ,لیکھ جاگنے,phrase
ਫਰਫੇਜੀ,,
ਘਿਣਾਧਾ,,
ਵਾਹਿਯਾਤੀ,واہِیاتی,"noun, feminine"
ਨਰੀ,,
ਖਾਰੀ,کھاری,"noun, feminine"
ਪਰਾਪਤੀ,پراپتی,"noun, feminine"
ਬੰਦਨਾ,بندنا,"noun, feminine"
ਦੁਹਤ,,
ਝੁਣਕਾਰ,جھُنکار,"noun, feminine"
ਬੰਦੂਕ,بندوق,"noun, feminine"
ਦਵੈਸ਼ਪੂਰਨ,دوَیشپورن,adjective
ਬਾਖਡ਼ੀ,,
ਅਰਡ਼ਾਟ,,
ਪਰਾਕਰਮਣ,,
ਸੋਵਾਨਾ,,
ਕੁੰਡੀ,کُنڈی,"noun, feminine"
ਤਰਕ ਗਿਆਨ,ترک گیان,"noun, masculine"
ਵੰਚਤ,ونچت,adjective
ਹੈਸ,,
ਧਿਜਣਾ,,
ਨਮਕ ਛਿੜਕਾਉਣਾ,نمک چھِڑکاؤنا,phrase
ਗਿੜਗਿੜਾਹਟ,گِڑگِڑاہٹ,"noun, feminine"
ਸਰਪੋਸ,,
ਤੋਮਥਯਾ,,
ਤਪ ਕਰਨਾ,تپ کرنا,conjunct verb
ਲਚਕਹੀਨਤਾ,لچکہینتا,"noun, feminine"
ਪੂਰਵ ਚਿਤਾਉਣੀ,پُوروَ چِتاؤنی,"noun, feminine"
ਮੁਕਰਾਈ,مُکرائی,"noun, feminine"
ਛੋਟਾ ਵੱਡਾ,چھوٹا وڈّا,"adjective, masculine"
ਛਿੰਗਲਾ,,
ਮੋਬਲਾਇਲ,موبلائل,"noun, masculine"
ਅਚਾਰ,اچار,"noun, masculine"
ਫਰਾਕ,فراق,"noun, feminine"
ਵਿਲਾਸਵਾਦ,وِلاس واد,"noun, masculine"
ਚੌਂਕ ਫੁੱਲ,چوک پُھلّ,"noun, masculine"
ਨਰਕੀ,نرکی,adjective
ਸਮਝਦਾਰ,سمجھدار,adjective
ਸੂਖਮਤਾਈ,سوکھمتائی,"noun, feminine"
ਪਟੱਣਾ,,
ਮਲਾਹਗੀਰੀ,ملاح گیری,"noun, feminine"
ਤਰਸ ਕਰਨਾ,ترس کرنا,conjunct verb
ਪਲਾਕੀ ਮਾਰਨੀ,پلاکی مارنی,conjunct verb
ਰਿਹਰਸਲ ਕਰਨੀ,رِہرسل کرنی,conjunct verb
ਵਿਚਕਾਰਲਾ,وِچکارلا,"adjective, masculine"
ਮਚਲਾਈ,,
ਅਲੀ,,
ਉਲਥਾਉਣਾ,اُلتھاؤنا,"verb, transitive"
ਬੰਦ ਖ਼ਲਾਸੀ,بند خلاصی,"noun, feminine"
ਗਾਬ,گاب,"noun, feminine"
ਬੁਨਾਉਟ,,
ਕੇਸਾਦਾਰੀ,,
ਅਲਾਟੀ,الاٹی,"noun, masculine"
ਸ਼ਿਕਰਾ,شکرہ,"noun, masculine"
ਖਿਲਕਾ,,
ਸਾਧ ਬਾਣੀ,سادھ بانی,"noun, feminine"
ਮਿਹਨਤੀ,محنتی,adjective
ਕੁੰਡਾਲਾ,,
ਉੱਖਣਨਾ,اُکھّننا,"verb, transitive"
ਮਾਫ਼ੀ ਦੇਣੀ,معافی دینی,conjunct verb
ਚਲ,چل,verb
ਧੀਰਜੀ,,
ਰੂਪੋਸ਼ ਹੋ ਜਾਣਾ,روپوش ہو جانا,phrase
ਹੁਰਮਚ,,
ਸਾਗੀ,,
ਰਸਤਾ,رستہ,"noun, masculine"
ਜੀਹਦਾ,جیہدا,pronoun
ਫਾੱਨਾਂ,,
ਮੇੜ੍ਹਾ,میڑھا,"noun, masculine"
ਉਧਾਰ ਦੇਣਾ,اُدھار دینا,conjunct verb
ਹਉਕਾ,ہَؤکا,"noun, masculine"
ਸਿਰਜਣਾ,سِرجنا,"verb, transitive"
ਚੁਸਤੀ ਕਰਨੀ,چُستی کرنی,phrase
ਨਿਓਂਦਰਾ,نِیوندرا,"noun, masculine"
ਰਸਾਉ,,
ਚੌਧਰਾਇਤ,,
ਸੁਰ ਦਬਾਅ,سُر دبا,"noun, masculine"
ਡੱਕੋ ਡੱਕ,ڈکّو ڈکّ,adverb
ਸੌਡ਼,,
ਪੰਕਾਰ,,
ਪਥਾ,,
ਘਟਣਾ,گھٹنا,"verb, intransitive"
ਗੱਠਾ,گٹھّا,"noun, masculine"
ਗੱਡਣਾ,گڈّنا,"verb, transitive"
ਘਸੋੜਨਾ,گھسوڑنا,"verb, transitive"
ਹਾਬਡ਼ਜਾਣਾ,,
ਹੁੱਸ ਹੁੱਟ ਜਾਣਾ,ہُسّ ہُٹّ جانا,conjunct verb
ਖਲਸੁੱਕ,,
ਮਿੱਲਤਣ,,
ਰੁਧਰ,,
ਪੁਟਾਸ਼ੀਅਮ,پُٹاشیئم,"noun, masculine"
ਟੈਰਾ,,
ਹੋਛੇ ਹਥਿਆਰ,ہوچھے ہتھیار,"noun masculine, plural"
ਝੱਮਣਾ,,
ਬਜ਼ਾਹਰ,بظاہر,adverb
ਕਾਮ ਵਾਸ਼ਨਾ,کام واشنا,"noun, feminine"
ਮੁੰਡਾਸਾ ਮਾਰਨਾ,مُنڈاسا مارنا,conjunct verb
ਭਾਰੀ ਜਿੱਤ,بھاری جِت,"noun, feminine"
ਮਜਬ,,
ਮਰਯਾਦਾਹੀਨ,مریاداہین,adjective
ਛੋਪਾ,چھوپا,"noun, feminine/noun, masculine"
ਕਰੂਟਾ,کروٹا,"noun, masculine"
ਸੁਰਖੀ,,
ਸ਼ਾਂਤੀਪੂਰਨ,شانتی پورن,adjective
ਸ਼ਾਸਿਤ,شاست,adjective
ਫਾਨੀ,,
ਟਕੌਂਚੀ,,
ਤਲਪੱਟੀ,,
ਚਾਨਣਾ,چاننا,"noun, masculine"
ਮੇਂਦਰੂ,,
ਘਚਾਨੀ,گھچانی,"noun, feminine"
ਸੋਹਜਰਾ,,
ਕਸਟ,,
ਸੁਦਾ,,
ਸਣ ਕੱਪੜੀਂ,سن کپّڑیں,adverb
ਸਜ ਧਜ ਨਾਲ,سج دھج نال,phrase
ਪਾਪਰੀ,پاپری,"noun, feminine"
ਜੋ,جو,pronoun
ਹੁੱਧ,,
ਵਾਹੋਦਾਹ,,
ਬਣਾਉ ਸ਼ਿੰਗਾਰ,بناؤ شِنگار,"noun, masculine"
ਗੱਤਾ,گتّا,"noun, masculine"
ਲੰਗਾਰ ਲਹਿ ਜਾਣਾ,لنگار لہِہ جانا,phrase
ਸੂਜੀ,سوجی,"noun, feminine"
ਟਿਕਡ਼ੀ,,
ਛਾਰੂ,,
ਕਸੀਦਾ,قصیدہ,"noun, masculine"
ਵਿਚਕਾਲੇ,,
ਇਤਲਾਹ,اطلاع,"noun, feminine"
ਕਮੂਤ,,
ਛਿਰੋਹਾ,,
ਅਦਾਇਗੀ,ادائیگی,"noun, feminine"
ਨਘਾਰਣਾ,,
ਵੇਦ,وید,"noun, masculine"
ਦਗ ਦਗ ਦਗਣਾ,دگ دگ دگنا,conjunct verb
ਔਤਰਕ,,
ਆਂਤ,آنت,"noun, feminine"
ਟੰਕਨਾ,,
ਫੁਦਕ,پھُدک,verb
ਬੇਕੂ,,
ਫੁਲਾਉ,پھُلاؤ,"noun, masculine"
ਮਾਂ ਬਾਪ,ماں باپ,"noun masculine, plural"
ਵਿਆਪਕਤਾ,ویاپکتا,"noun, feminine"
ਵਿਰਾਮ ਜੜਤਾ,وِرام جڑتا,"noun, feminine"
ਚਿਜਾਕਰੀ,,
ਟੈਂ ਦੱਸਣੀ,ٹَیں دسّنی,phrase
ਸੁਰ ਲਿਪੀ,سُر لِپی,"noun, feminine"
ਬਲੂਂਧਰਨਾ,,
ਨਿੰਦਣਯੋਗ,نِندن یوگ,adjective
ਗੱਤਕਦਾ,,
ਰੰਗਵੱਯਾ,,
ਸੱਤੂ,ستّو,"noun, masculine"
ਵਿਖਾਲ਼ਾ,وِکھالا,"noun, masculine"
ਈਰ,,
ਅਣਮਾਣ,,
ਖੱਟੀ ਖੱਟਣੀ,کھٹّی کھٹّنی,phrase
ਹਿਜਰੀ,ہِجری,adjective
ਚਕਚੁੰਧਰ,,
ਛਡਵਾਈ,چھڈوائی,"noun, feminine"
ਤਮਬੋਲਣ,,
ਥੁੰਨਾ,تھُنّا,"noun, masculine"
ਨੁਕਤਾਚੀਨੀ ਕਰਨਾ,نکتہ چینی کرنا,conjunct verb
ਠੁਸਕਣਾ,,
ਗੰਦਮ,گندم,"noun, feminine"
ਮਾਲਦਾਰ,مالدار,adjective
ਮੋਖ,موکھ,"noun, masculine"
ਮਚਾਕਾ,مچاکا,"noun, masculine"
ਧਰੱਕ ਮਾਰਨਾ,دھرکّ مارنا,conjunct verb
ਮਿਆਂਕਣਾ,میانکنا,"verb, intransitive"
ਸਾਫ਼ਗੋਈ,صافگوئی,"noun, feminine"
ਫੜਨਾ,پھڑنا,"verb, transitive"
ਕੰਦਰਾ,,
ਪਲੰਢ,پلنڈھ,"noun, masculine"
ਸ਼ੌਕੀਣ,,
ਤਾਂਤ,,
ਮੈਰਾ,مَیرا,adjective
ਦੱਬਾ,دبّا,"noun, masculine"
ਖਪ,کھپ,verb
ਵਡਮੁੱਲਾ,وڈمُلاّ,"adjective, masculine"
ਦੇਹਲੀਜ਼,دہلیز,"noun, feminine"
ਕੋਪ,کوپ,"noun, masculine"
ਫੁਲਬਹਿਰੀ,پھُلبہِری,"noun, feminine"
ਬਰਬਾਦ,برباد,adjective
ਬੁੱਧੂਪੁਣਾ,بُدّھوپُنا,"noun, masculine"
ਚੁਰ,,
ਕੋਤੋ,,
ਟੰਟਾ ਖੜ੍ਹਾ ਕਰਨਾ,ٹنٹا کھڑھا کرنا,phrase
ਤੁਰਪਣਾ,,
ਲਾਰੇਬਾਜ਼ੀ,لارےبازی,"noun, feminine"
ਹਾੱਕਲ,,
ਲਿਦਹਿਰਾ,,
ਜਿਓਣਾ,جِیونا,"verb, intransitive"
ਚੁਪਾਕ,,
ਨਿਰਣ,,
ਖਿਜਾਬ ਲਾਉਣਾ,خضاب لاؤنا,conjunct verb
ਹੁਡ਼ਿਆਰ,,
ਅਣਵਟੱ,,
ਛਾਂਉ,,
ਨਿਭਾਅ,نِبھائ,"noun, masculine"
ਭਾੜੇ ਦਾ ਟੱਟੂ,بھاڑے دا ٹٹّو,phrase
ਕਰੌਂਦੀ,کروندی,"noun, feminine"
ਨਾਸਾਜ਼,ناساز,adjective
ਗੁਮਾਨੀ,گُمانی,"adjective, masculine"
ਪਟਕਾ,پٹکہ,"noun, masculine"
ਘੁਟਨ,گھُٹن,"noun, feminine"
ਸਾਹਣ,,
ਲਸਕਾਉਣ,,
ਢਾਮਣੀ,,
ਬਹਨੋਈ,,
ਤਤਕਾਲੀ,تتکالی,adjective
ਦੂਦਅਗਰੂ,,
ਚਲਦਾ ਫਿਰਦਾ,چلدا پِھردا,"adjective, masculine"
ਝਕਾਨੀ,جھکانی,"noun, feminine"
ਟੇਕ ਆਉਣੀ,ٹیک آؤنی,conjunct verb
ਮਰਗ,مرگ,"noun, feminine"
ਲੋਹ ਪੁਰਖ,لوہ پُرکھ,"noun, masculine"
ਬਲੋਚੀ,بلوچی,adjective
ਜਿਹੀ,جِہی,"adjective, feminine"
ਸਮੁੱਦਰ,,
ਤਫਤੀਸ਼,تفتیش,"noun, feminine"
ਲਡ਼ਕਬੁੱਧ,,
ਝੁਕਾ,جھُکا,"noun, masculine"
ਛਿੱਲਕ,,
ਸਸਕਾਰ,سسکار,"noun, masculine"
ਚਮੜਾ ਸੋਧਣਾ,چمڑہ سودھنا,conjunct verb
ਸ਼ੋਤਲ,,
ਚੱਪਣ ਕੱਦੂ,چپّن کدّو,"noun, masculine"
ਭਟਕੀ,بھٹکی,verb
ਕਪਣ,,
ਜੱਕਬੱਨ੍ਹਣਾ,,
ਮਹਿਸੂਸ ਕਰਨਾ,محسوس کرنا,conjunct verb
ਕਲੰਕ ਲੱਗਣਾ,کلنک لگّنا,phrase
ਮਿਹਤਾ੍ਣੀ,,
ਉਦਘਾਟਨ ਕਰਨਾ,اُدگھاٹن کرنا,conjunct verb
ਫਿਰਤੂ ਘਿਰਤੂ,,
ਅਪਹੁੰਚਤਾ,اپہُنچتا,"noun, feminine"
ਬੁਲੰਦੀ,بُلندی,"noun, feminine"
ਮਾਜਰੀ,ماجری,"noun, feminine"
ਬਮ੍ਹਣੇਟਾ,,
ਚਿਤਮਣਾ,,
ਛਾਂਦਾੱ,,
ਨਰਮੀ,نرمی,"noun, feminine"
ਹੁਨਰ,ہُنر,"noun, masculine"
ਢੁਕਾਓ,,
ਮੁੱਕਦਮੀ,,
ਤੁਹਾਥੋਂ,تُہاتھوں,"pronoun, adjective"
ਗੁਰਖਾਲੀ,گُرکھالی,"noun, feminine"
ਪ੍ਰਤਿਗੁਣਨ,پرتِگُنن,"noun, masculine"
ਪਰਾਰ,پرار,"noun, masculine & adverb"
ਸ਼ਾਸਨ,شاسن,"noun, masculine"
ਬਾਦੀਯਾ,,
ਸਿਯਾਹੀ,,
ਭੰਬੋਲਾ,,
ਸੁਲੇਖਕਾਰ,سُلیکھکار,"noun, masculine"
ਖੇਖਣਹਾਰਾ,کھیکھنہارا,"adjective, masculine"
ਆਸਣ ਮੱਲਣਾ,آسن ملّنا,phrase
ਢੰਗਣਾ,ڈھنگنا,"verb, transitive"
ਕਿਰਿਆਸ਼ੀਲਤਾ,کِرِیاشیلتا,"noun, feminine"
ਪਰਾੱਗਾ,,
ਫਨਾ,,
ਫੁਰਤ,,
ਚੰਗਿਆਈ,چنگیائی,"noun, feminine"
ਮੱਤ ਭੇਦ,متّ بھید,"noun, masculine"
ਫੋਲਾ ਫਾਲੀ,پھولا پھالی,"noun, feminine"
ਨਰਮ ਦਿਲ,نرم دِل,adjective
ਸੱਤੂ ਖਾਣੇ,ستّو کھانے,conjunct verb
ਹੂਰ,حُور,"noun, feminine"
ਅਸਮ ਰੇਖੀ,اَسم ریکھی,adjective
ਰਜਲ,,
ਨਿਰਸ,نِرس,adjective
ਜਮੇਰਾਤੀਆ,,
ਠੰਢ ਪਾਊ,ٹھنڈھ پاؤ,adjective
ਦੋਹਤਰੀ,,
ਮਿਓਂਸਪਲ਼ਟੀ,مِیونسپلٹی,"noun, feminine"
ਜੁਲਮ ਕਰਨਾ,ظُلم کرنا,conjunct verb
ਚੋੱਸਾ,,
ਰੌਲੀ,,
ਉਘਾਡ਼ਾ,,
ਕਿੱਲਤ,قِّلت,"noun, feminine"
ਪੂਛ ਹਿਲਾਉਣੀ,پُوچھ ہِلاؤنی,conjunct verb
ਰਾਂਦ,راند,"noun, feminine"
ਕਰਿਤੱਗ,کرِتگّ,adjective
ਸਬਜ਼ਾ,سبزہ,"noun, masculine"
ਵਿੱਚੋ ਵਿੱਚ,وِچّو وِچّ,adverb
ਬਾਮਾਰੇਜਾਣਾ,,
ਪਡ਼ਗਣਾ,,
ਅਵੱਸ਼,اوشّ,adverb
ਟੋਪੀ,ٹوپی,"noun, feminine"
ਦੁਪਰਨਾਉਣ,دُپرناؤن,"noun, masculine"
ਬੰਬਾਰ,بنبار,"noun, masculine & adjective"
ਲਟੋਰਾ,,
ਮੂਧੀ,,
ਵਿਲਗਣ,,
ਵਿਰੋਧਣ,,
ਐਹਣ,,
ਚੋਣ ਦਫ਼ਤਰ,چون دفتر,"noun, masculine"
ਕਾਪੀ,کاپی,"noun, feminine"
ਜਾਰੀ ਰੱਖਣਾ,جاری رکّھنا,conjunct verb
ਪੈਂਹਠ,پَینہٹھ,adjective
ਬੈਠਵਾਂ,بیٹھواں,"adjective, masculine"
ਗ੍ਰਿਸਤ ਆਸ਼੍ਰਮ,گرِست آشرم,"noun, masculine"
ਸਾਥ ਨਿਭਾਉਣਾ,ساتھ نِبھاؤنا,phrase
ਗਹਿਰਾ,گہرا,"adjective, masculine"
ਅਲਕ,الک,"noun, feminine"
ਵਲਟੋਹ,,
ਸਿਤੂਨ,,
ਨੇਕ,نیک,adjective
ਹਰਾਮ ਦਾ ਮਾਲ,حرام دا مال,phrase
ਛਾਂ,چھاں,"noun, feminine"
ਗਲਗਲ,گلگل,"noun, feminine"
ਤਿਊੜੀ ਚੜ੍ਹਾਉਣੀ,تِیوڑی چڑھاؤنی,phrase
ਪੈਨਸਲੀਨ,پَینسلین,"noun, feminine"
ਰਹਕੀ,,
ਚਮਰਖ,چمرکھ,"noun, masculine"
ਪੁਰਸ਼ਾਰਥੀ,پُرشارتھی,adjective
ਕਨੂੰਨ ਅਨੁਸਾਰ,قنون انوسار,adjective
ਵਰਕਾ,ورقہ,"noun, masculine"
ਲੱਥਾ,لتھّا,verb
ਸੁਆਰਥਣ,,
ਬੰਦ ਕਰਨਾ,بند کرنا,conjunct verb
ਸ਼ਰਤਨਾਮਾ,شرطنامہ,"noun, masculine"
ਜਹਿਨੀਅਤ,ذہنیت,"noun, feminine"
ਪਰਸੰਨਤਾ,پرسنّتا,"noun, feminine"
ਘੀਂਗੇ,,
ਕੰਨਾਂ ਤੇ ਜੂੰ ਨਾ ਸਰਕਣੀ,کنّاں تے جُوں نا سرکنی,phrase
ਨਜ਼ਰ ਪੈਣੀ,نظر پَینی,phrase
ਮਨੀਟਰੀ,منیٹری,"noun, feminine"
ਕਲੱਬ ਬਣਾਉਣੀ,کلبّ بناؤنی,conjunct verb
ਭੁਗਤ,بھُگت,"noun, feminine"
ਜੁਕਡ਼ਣਾ,,
ਮੰਜਲ,,
ਅਮੁੱਲਾ,امُلاّ,"adjective/adjective, masculine"
ਅਕਸਰੀਅਤ,اکٽریت,"noun, feminine"
ਪਾਰੋਂ,,
ਖੁਸ਼ਫਹਿਮੀ,خوش فہمی,"noun, feminine"
ਤਿਕੋਣ,تِکون,"noun, feminine"
ਕਰਜ਼ ਲੈਣਾ,قرض لَینا,"verb, transitive"
ਜੂਦ ਹਜਮ,جود ہضم,adjective
ਨੱਯਤ,,
ਪੇਸ਼ ਨਾ ਚਲਣੀ,پیش نا چلنی,phrase
ਗੁਡਵਾਉਣਾ,گُڈواؤنا,"verb, transitive"
ਨੀਚੋਨੀਚੀ,,
ਵੇਲਣਾ,ویلنا,"verb, transitive"
ਛੁੱਟਣਾ,چھُٹّنا,conjunct verb
ਮਾੱਝਾ,,
ਤਸ਼ਰੀਫ਼ ਆਵਰੀ,تشریف آوری,"noun, feminine"
ਅਨੁਕਰਨ,انوکرن,"noun, masculine"
ਸਦ ਅਫ਼ਸੋਸ,صد افسوس,interjection
ਗਵਾਂਢਣ,,
ਚੁਭਕਾ,,
ਵਲ਼ਨਾ,ولنا,"verb, transitive"
ਢਕਾਰਣ,,
ਮਨੁੱਖੀ,منُکّھی,adjective
ਅਮੋਦ,امود,"noun, masculine"
ਬਕਵਾਹਾ,,
ਯੋਜਕੀ,یوجکی,adjective
ਮੋਮਨ,مومن,"noun, masculine"
ਕਿਸੇ ਤਰ੍ਹਾਂ,کِسے طرح,adverb
ਪ੍ਰਤਿਸਥਾਪਨ,پرتِستھاپن,"noun, masculine"
ਚਹਿਚਹਾਟ,چہِچہاٹ,"noun, feminine"
ਪਵਾਂਦ,پواند,"noun, feminine"
ਇੰਜੇਂ,,
ਰੂੜ੍ਹੀਵਾਦ,روڑھیواد,"noun, masculine"
ਮਲਮਾ,,
ਸੋਗ ਦਾ ਗੀਤ,سوگ دا گیت,phrase
ਗੁਨ੍ਹਵਾਉਣਾ,گُنھواؤنا,"verb, transitive"
ਸਧੁੱਕੜੀ,سدُھکّڑی,"noun, feminine"
ਅਗਰਾਹੁਣਾ,,
ਭਾਜਡ਼,,
ਉੱਡ,اُڈّ,verb
ਤਬਾਸੀਰ,,
ਅਵਰ,اوَر,conjunct verb
ਸੁੰਢੋਲ਼ਾ,سُنڈھولا,"noun, masculine"
ਅੱਪੜਨਾ,اپّڑنا,"verb, intransitive"
ਪੱਮਾ,,
ਦੂਰ ਦੇ ਢੋਲ ਸੁਹਾਵਣੇ,دُور دے ڈھول سُہاونے,phrase
અગ્ગી,,
ਰੁਲ਼ਾਉਣਾ,رُلاؤنا,"verb, transitive"
ਜਿਧਰੇ ਕਿਧਰੇ,,
ਇੱਟ,اِٹّ,"noun, feminine"
ਦੁਸ਼ਮਣੀ,,
ਅਰਥ,ارتھ,"noun, masculine"
ਬਲੇਦਾ,,
ਆਸਥਾ,آستھا,"noun, feminine"
ਹਟਕਾਉਣਾ,,
ਸ਼ੇਖਜ਼ਾਦਾ,شیخ زادا,"noun, masculine"
ਗਲੋਲਾ,گلولا,"noun, masculine"
ਗੋਪੀਯਾ,,
ਮਸਤਕੀ,,
ਕਰੰਸੀ,کرنسی,"noun, feminine"
ਝਾੜੇ ਜਾਣਾ,جھاڑے جانا,conjunct verb
ਰੁਪਇਆ,روپیہ,"noun, masculine"
ਚਰਖੜੀ ਤੇ ਚੜ੍ਹਾਉਣਾ,چرکھڑی تے چڑھاؤنا,phrase
ਮੂਸਲਾਧਾਰ ਮੀਂਹ ਵੱਸਣਾ,مُوسلادھار مینہہ وسّنا,phrase
ਕਾਬਜ਼,قابض,adjective
ਹਰਕਤਣ,,
ਖੇਤੀਕਾਰ,کھیتیکار,"noun, masculine"
ਰਹਿਟ,رہِٹ,"noun, masculine"
ਮਹਿਕਣਾ,مہکنا,"verb, intransitive"
ਘੁਣਾਂਦਰਾ,,
ਜੁਝਾਰੂ,جُجھارو,adjective
ਵਯਾਹੁਣਾ,,
ਸੁਮਹਾਲਨ,,
ਪਰਦੀਪ,پردیپ,"noun, masculine"
ਚਮੱਚ,,
ਏਕੀਕਰਨ,ایکیکرن,"noun, masculine"
ਹੇ,ہے,interjection
ਮੱਧ ਕਾਲ,مدّھ کال,"noun, masculine"
ਟਪਵਾ,ٹپوا,verb
ਸੁਰੂ,,
ਕੁਆਟਰ ਮਾਸਟਰ,کُوآٹر ماسٹر,"noun, masculine"
ਕੁਦੇਸ,کُدیس,"noun, masculine"
ਤਾਉਲਾ,تاؤلا,"adjective, masculine"
ਮਬਨੀ,مبنی,adjective
ਲਿਲ੍ਹਕਣਾ,لِلھکنا,"verb, transitive"
ਸ਼ੋਰੇਦਾਰ,شورےدار,adjective
ਜਿੰਨ,جِنّ,"noun, masculine"
ਮਾਸਕ,,
ਵਧਾਈ,ودھائی,"noun, feminine"
ਤਿੱਗੁਣਾ,,
ਪੁਰਾਤਤਵ ਵਿਭਾਗ,پُراتتوَ وِبھاگ,"noun, masculine"
ਖਟਾਉਣਾ,کھٹاؤنا,"verb, transitive"
ਪਡ਼ਛਾਵਣ,,
ਅਸਟਮੀ,,
ਸੰਭਾਲ਼ਨਾ,سنبھالنا,"verb, transitive"
ਛੱਲੀ,چھلّی,"noun, feminine"
ਝੰਡੀ ਫੇਰਨੀ,جھنڈی پھیرنی,phrase
ਰੱਖ,رکّھ,"noun, feminine"
ਡੱਕਾ ਨਾ ਤੋੜਨਾ,ڈکّا نا توڑنا,phrase
ਨੂੰਹਦਰ,,
ਮੌਤ ਦੀ ਸਜ਼ਾ,موت دی سزا,phrase
ਲਾਉ,,
ਜੁਆਰੀ,,
ਧਾਨੀ,دھانی,adjective
ਸ਼ਕਾਰ,,
ਲਪੜ ਲਪੜ,لپڑ لپڑ,"noun, feminine"
ਲਾਕਨੂੰਨੀ,لاکنونّی,"noun, feminine"
ਗਲਧਰ,,
ਨਿਚੱਲ,,
ਬਸੂਆਂ,,
ਮਲ੍ਹੀ,ملھی,"noun, feminine"
ਅਭਰੂਨ,,
ਵਿਵੇਕ,وِویک,"noun, masculine"
ਨਰਡ਼ਾਉਣਾ,,
ਅੰਗਯਾਰੀ,,
ਭਰ ਭਾਰਾ,بھر بھارا,"noun, masculine"
ਢੱਡਾ,,
ਛੇੜ,چھیڑ,"noun, feminine"
ਕਸ਼ਾ,,
ਸੁਵਾਉਣਾ,,
ਤਕਨੀਕੀ,تکنیکی,adjective
ਬੌਹਲ਼ੀ,بوہلی,"noun, feminine"
ਦੌਲਤਮੰਦੀ,دولتمندی,"noun, feminine"
ਕੁਸੱਗ,,
ਟੇਪ,ٹیپ,"noun, masculine"
ਕੋਵੱਲਾ,,
ਲੈਰਾ,لَیرا,"adjective, masculine"
ਬੰਦ ਖ਼ਲਾਸ,بند خلاص,"noun, feminine"
ਸਿੱਨੂ,,
ਅੱਗੇ ਤੋਂ,اگّے توں,adverb
ਫੂੰਤ੍,,
ਬਿਰਖ ਲਾਉਣਾ,بِرکھ لاؤنا,conjunct verb
ਸਹਿਯੋਗੀ,سہِیوگی,"adjective & noun, masculine"
ਵੈਰੀ,وَیری,"noun, masculine & adjective"
ਲੋਟਕੀ,,
ਚਤਰਨੀ,,
ਜੂਨੀ,جونی,"noun, feminine"
ਮੂੰਹ ਕਰਨਾ,مُنھ کرنا,phrase
ਮੇਚਕਾ,,
ਪਿੱਦਾ,پِدّا,"noun, masculine"
ਝ,جھ,"noun, masculine"
ਅਟਾਸਠਾ,,
ਪਹਾੜ ਜਿੱਡਾ ਦਿਨ,پہاڑ جِڈّا دِن,phrase
ਸੌਂਕਾ,,
ਘੁੱਘ,گھُگھّ,adverb
ਤੁੰਬਾਈ,تُنبائی,"noun, feminine"
ਤਕਾ,تکا,verb
ਧਰਮ ਪਰਿਵਰਤਨ,دھرم پرِورتن,"noun, masculine"
ਕੋਹ,کوہ,"noun, masculine"
ਵੱਟ ਲੱਗਣਾ,وٹّ لگّنا,phrase
ਅਡ਼ੋਸੀ ਪਡ਼ੋਸੀ,,
ਚਿਲਕਾਉਣਾ,چِلکاؤنا,"verb, transitive"
ਅਡ਼ਯਲ,,
ਘਾਘਰਾ,,
ਦਰਵੇਸ,,
ਚੀਘ,,
ਲੈਂਕ,,
ਝੇੜਾ,جھیڑا,"noun, masculine"
ਮਹਿਰੂਮ,محروم,adjective
ਫ਼ਾਨੂਸ,فانوس,"noun, masculine"
